Level,Date and Time,Source,Event ID,Task Category
Information,8/27/2023 4:45:38 AM,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Provisioning\Microsoft-Desktop-Provisioning-Sequence.dat was cleared updating 0 keys and creating 0 modified pages.
Information,8/27/2023 4:41:28 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  VBoxDrv
Service File Name:  C:\WINDOWS\system32\drivers\VBoxDrv.sys
Service Type:  kernel mode driver
Service Start Type:  demand start
Service Account:  "
Information,8/27/2023 4:39:02 AM,Microsoft-Windows-FilterManager,6,None,"File System Filter 'SysmonDrv' (0.0, ‎2023‎-‎06‎-‎27T02:09:58.000000000Z) has successfully loaded and registered with Filter Manager."
Information,8/27/2023 4:39:02 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  SysmonDrv
Service File Name:  C:\WINDOWS\SysmonDrv.sys
Service Type:  kernel mode driver
Service Start Type:  boot start
Service Account:  "
Information,8/27/2023 4:39:02 AM,Service Control Manager,7045,None,"A service was installed in the system.

Service Name:  Sysmon
Service File Name:  C:\WINDOWS\Sysmon.exe
Service Type:  user mode service
Service Start Type:  auto start
Service Account:  LocalSystem"
Information,8/27/2023 4:31:40 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Warning,8/27/2023 4:23:06 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.SecurityAppBroker
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Warning,8/27/2023 4:23:06 AM,Microsoft-Windows-DistributedCOM,10016,None,"The application-specific permission settings do not grant Local Launch permission for the COM Server application with CLSID 
Windows.SecurityCenter.WscBrokerManager
 and APPID 
Unavailable
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information,8/27/2023 4:21:57 AM,Microsoft-Windows-Winlogon,7001,(1101),User Logon Notification for Customer Experience Improvement Program
Information,8/27/2023 4:21:06 AM,Service Control Manager,7026,None,"The following boot-start or system-start driver(s) did not load: 
dam"
